,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
112,mentioned,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1485098780.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,thegreyd
113,subscribed,DevArenaCN,[u'DevArenaCN'],4,1485098721.0,1485113698.0,1485028216.0,24,"[u'1d76db', u'bfd4f2']","[u'Deliverables', u'Implimentation']",1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Trying to get a workable user reg/login system by Sunday,DevArenaCN
114,mentioned,DevArenaCN,[u'DevArenaCN'],4,1485098721.0,1485113698.0,1485028216.0,24,"[u'1d76db', u'bfd4f2']","[u'Deliverables', u'Implimentation']",1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Trying to get a workable user reg/login system by Sunday,DevArenaCN
115,closed,[],[],0,1485063196.0,1485063196.0,1485063193.0,26,[],[],None,None,None,None,None,None,"Update latest code, working on recording failed login times tomorrow",DevArenaCN
116,merged,[],[],0,1485063196.0,1485063196.0,1485063193.0,26,[],[],None,None,None,None,None,None,"Update latest code, working on recording failed login times tomorrow",DevArenaCN
117,referenced,[],[],0,1485063196.0,1485063196.0,1485063193.0,26,[],[],None,None,None,None,None,None,"Update latest code, working on recording failed login times tomorrow",DevArenaCN
118,closed,[],[],0,1485042584.0,1485042584.0,1485042580.0,25,[],[],None,None,None,None,None,None,Updating User Login Experiment app,DevArenaCN
119,merged,[],[],0,1485042584.0,1485042584.0,1485042580.0,25,[],[],None,None,None,None,None,None,Updating User Login Experiment app,DevArenaCN
120,referenced,[],[],0,1485042584.0,1485042584.0,1485042580.0,25,[],[],None,None,None,None,None,None,Updating User Login Experiment app,DevArenaCN
121,labeled,DevArenaCN,[u'DevArenaCN'],4,1485028222.0,1485113698.0,1485028216.0,24,"[u'1d76db', u'bfd4f2']","[u'Deliverables', u'Implimentation']",1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Trying to get a workable user reg/login system by Sunday,DevArenaCN
122,labeled,DevArenaCN,[u'DevArenaCN'],4,1485028222.0,1485113698.0,1485028216.0,24,"[u'1d76db', u'bfd4f2']","[u'Deliverables', u'Implimentation']",1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Trying to get a workable user reg/login system by Sunday,DevArenaCN
123,assigned,DevArenaCN,[u'DevArenaCN'],4,1485028216.0,1485113698.0,1485028216.0,24,"[u'1d76db', u'bfd4f2']","[u'Deliverables', u'Implimentation']",1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Trying to get a workable user reg/login system by Sunday,DevArenaCN
124,milestoned,DevArenaCN,[u'DevArenaCN'],4,1485028216.0,1485113698.0,1485028216.0,24,"[u'1d76db', u'bfd4f2']","[u'Deliverables', u'Implimentation']",1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Trying to get a workable user reg/login system by Sunday,DevArenaCN
125,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",12,1484950568.0,1485441047.0,1484950526.0,23,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare schedule to conduct user meetings,thegreyd
126,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",12,1484950554.0,1485441047.0,1484950526.0,23,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare schedule to conduct user meetings,KaustubhG
127,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",12,1484950554.0,1485441047.0,1484950526.0,23,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare schedule to conduct user meetings,DevArenaCN
128,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",12,1484950546.0,1485441047.0,1484950526.0,23,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare schedule to conduct user meetings,thegreyd
129,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1484950360.0,1485440311.0,1484950343.0,22,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Pre User-feedback Meeting notes,KaustubhG
